id,category,sub_category,product,price
1,Food - Seafood,Frozen Seafood,Frozen Salmon Filets,12.99
2,Home,Bedding & Linens,Cotton Quilted Throw Blanket,39.99
3,Food - Snacks,Gourmet Snacks,Honey Butter Popcorn,2.99
4,Food - Snacks,Healthy Snacks,Mango Chia Pudding,4.49
5,Crafts,Candle & Soap Making Supplies,DIY Candle Making Kit,22.99
6,Health,Injury Prevention & Recovery,Deep Tissue Massage Gun,89.99
7,Food - Cereals,Granola,Raisin Cinnamon Granola,3.79
8,Health,Health Devices,Ultraviolet Phone Sanitizer,39.99
9,Clothing - Dresses,Casual Dresses,Summer Tank Dress,39.99
10,Home Security,Smart Security,Wireless Security System,299.99
11,Health,Aromatherapy & Wellness,Essential Oil Roller Bottles,19.99
12,Food - Condiments,Syrups,Maple Syrup,6.99
13,Fitness,Health Monitoring Devices,Smart Fitness Scale,49.99
14,Accessories,Power Accessories,USB Wall Charger,19.99
15,Kitchen,Cookware,Electric Hot Pot,49.99
16,Food - Frozen,Frozen Vegetables,Roasted Sweet Corn,1.99
17,Food - Baking,Mixes,Chocolate Fudge Brownie Mix,2.99
18,Kitchen,Coffee Equipment,Electric Kettle with Temperature Control,49.99
19,Kitchen,Cooking Tools & Utensils,Digital Meat Thermometer,24.99
20,Food - Produce,Leafy Greens,Organic Spinach,2.99
21,Food - Prepared Foods,Salads,Chickpea Salad,5.49
22,Food - Dairy Alternatives,Plant-Based Yogurt,Coconut Cream Pie Yogurt,1.99
23,Clothing - Shoes,Footwear - Boots,Stylish Combat Boots,99.99
24,Automotive,Automotive Accessories,Car Windshield Sun Shade,19.99
25,Food - Spices,Seasoning Blends,Smoked Paprika,2.99
26,Home,Home Organization,Wire Shelving Unit,69.99
27,Clothing - Pants,Work Pants,Utility Cargo Pants,54.99
28,Kitchen,Cookware,Dual Function Electric Skillet,59.99
29,Clothing,Outerwear,Winter Insulated Jacket,89.99
30,Fitness,Bikes & Cycling Equipment,Folding Exercise Bike,199.99
31,Kitchen,Kitchen Storage & Organization,Magnetic Spice Jars,24.99
32,Food - Sides,Grains,Coconut Lime Rice,2.99
33,Clothing - Bags,Handbags,Leather Crossbody Bag,89.99
34,Food - Vegetables,Vegetables,Marinated Artichokes,3.79
35,Kitchen,Coffee Equipment,Siphon Coffee Maker,49.99
36,Food - Condiments,Sauces,Salsa Verde,3.49
37,Food - Pasta,Pasta,Pasta (Linguine),1.89
38,Garden,Garden Supplies,Compost Bin,29.99
39,Office,Furniture,Adjustable Standing Desk,299.99
40,Electronics,Portable Power Solutions,Solar Charger,39.99
